DEBUG 2025-01-24 12:24:57,584 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/core/validators.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,585 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/reportlab/pdfbase/_fontdata_enc_macroman.py first seen with mtime 1729518144.0
DEBUG 2025-01-24 12:24:57,585 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/reportlab/lib/styles.py first seen with mtime 1729518144.0
DEBUG 2025-01-24 12:24:57,586 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/contrib/auth/models.py first seen with mtime 1729518124.0
DEBUG 2025-01-24 12:24:57,586 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/template/base.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,587 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/reportlab/pdfbase/_fontdata_enc_symbol.py first seen with mtime 1729518144.0
DEBUG 2025-01-24 12:24:57,588 autoreload File /usr/local/lib/python3.11/asyncio/events.py first seen with mtime 1701232364.0
DEBUG 2025-01-24 12:24:57,588 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/db/models/fields/proxy.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,589 autoreload File /usr/local/lib/python3.11/email/headerregistry.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,589 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/reportlab/lib/rl_safe_eval.py first seen with mtime 1729518144.0
DEBUG 2025-01-24 12:24:57,590 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/contrib/sessions/apps.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,590 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/db/migrations/migration.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,591 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/apps/registry.py first seen with mtime 1729518123.0
DEBUG 2025-01-24 12:24:57,592 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/vine/synchronization.py first seen with mtime 1729518119.0
DEBUG 2025-01-24 12:24:57,592 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/utils/safestring.py first seen with mtime 1729518127.0
DEBUG 2025-01-24 12:24:57,593 autoreload File /usr/local/lib/python3.11/email/_policybase.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,593 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/contrib/staticfiles/management/commands/__init__.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,594 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/utils/duration.py first seen with mtime 1729518127.0
DEBUG 2025-01-24 12:24:57,595 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/psycopg2/extensions.py first seen with mtime 1729518165.0
DEBUG 2025-01-24 12:24:57,596 autoreload File /usr/local/lib/python3.11/unittest/suite.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,596 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/db/backends/base/creation.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,599 autoreload File /src/education/serializers.py first seen with mtime 1736171951.086508
DEBUG 2025-01-24 12:24:57,599 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/click/decorators.py first seen with mtime 1729518120.0
DEBUG 2025-01-24 12:24:57,600 autoreload File /usr/local/lib/python3.11/multiprocessing/__init__.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,601 autoreload File /usr/local/lib/python3.11/tempfile.py first seen with mtime 1701232364.0
DEBUG 2025-01-24 12:24:57,601 autoreload File /usr/local/lib/python3.11/socket.py first seen with mtime 1701232364.0
DEBUG 2025-01-24 12:24:57,602 autoreload File /usr/local/lib/python3.11/email/__init__.py first seen with mtime 1701232365.0
DEBUG 2025-01-24 12:24:57,603 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/db/models/constants.py first seen with mtime 1729518126.0
DEBUG 2025-01-24 12:24:57,603 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/contrib/postgres/forms/__init__.py first seen with mtime 1729518125.0
DEBUG 2025-01-24 12:24:57,604 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/contrib/auth/validators.py first seen with mtime 1729518124.0
DEBUG 2025-01-24 12:24:57,605 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/django/contrib/admin/options.py first seen with mtime 1729518123.0
DEBUG 2025-01-24 12:24:57,606 autoreload File /opt/pysetup/.venv/lib/python3.11/site-packages/dateutil/parser/isoparser.py first seen with mtime 1729518128.0
